season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2001,Rugby Championship / Tri Nations,2001-08-25,New Zealand,South Africa,26,15,Eden Park,24043
2001,Rugby Championship / Tri Nations,2001-09-01,Australia,New Zealand,29,26,Accor Stadium,24045
2000-01,Six Nations,2001-09-22,Scotland,Ireland,32,10,Scottish Gas Murrayfield,24052
2000-01,Six Nations,2001-10-13,Wales,Ireland,6,36,Principality Stadium,24065
2000-01,Six Nations,2001-10-20,Ireland,England,20,14,Aviva Stadium,24072
2001-02,Six Nations,2002-02-02,France,Italy,33,12,Stade de France,24137
2001-02,Six Nations,2002-02-02,Scotland,England,3,29,Scottish Gas Murrayfield,24138
2001-02,Six Nations,2002-02-03,Ireland,Wales,54,10,Aviva Stadium,24139
2001-02,Six Nations,2002-02-16,Wales,France,33,37,Principality Stadium,24147
2001-02,Six Nations,2002-02-16,Italy,Scotland,12,29,Stadio Flaminio,24145
2001-02,Six Nations,2002-02-16,England,Ireland,45,11,Allianz Stadium,24146
2001-02,Six Nations,2002-03-02,France,England,20,15,Stade de France,24152
2001-02,Six Nations,2002-03-02,Wales,Italy,44,20,Principality Stadium,24151
2001-02,Six Nations,2002-03-02,Ireland,Scotland,43,22,Aviva Stadium,24153
2001-02,Six Nations,2002-03-23,Ireland,Italy,32,17,Aviva Stadium,24158
2001-02,Six Nations,2002-03-23,England,Wales,50,10,Allianz Stadium,24159
2001-02,Six Nations,2002-03-23,Scotland,France,10,22,Scottish Gas Murrayfield,24160
2001-02,Six Nations,2002-04-06,France,Ireland,44,5,Stade de France,24166
2001-02,Six Nations,2002-04-06,Wales,Scotland,22,27,Principality Stadium,24167
2001-02,Six Nations,2002-04-07,Italy,England,9,45,Stadio Flaminio,24175
2002,Rugby Championship / Tri Nations,2002-07-13,New Zealand,Australia,12,6,Jade Stadium (Lancaster Park),24251
2002,Rugby Championship / Tri Nations,2002-07-20,New Zealand,South Africa,41,20,Sky Stadium,24254
2002,Rugby Championship / Tri Nations,2002-07-27,Australia,South Africa,38,27,Wooloongabba,24256
2002,Rugby Championship / Tri Nations,2002-08-03,Australia,New Zealand,16,14,Accor Stadium,24259
2002,Rugby Championship / Tri Nations,2002-08-10,South Africa,New Zealand,23,30,Hollywoodbets Kings Park,24260
2002,Rugby Championship / Tri Nations,2002-08-17,South Africa,Australia,33,31,Ellis Park,24264
2002-03,Six Nations,2003-02-15,Italy,Wales,30,22,Stadio Flaminio,24362
2002-03,Six Nations,2003-02-15,England,France,25,17,Allianz Stadium,24363
2002-03,Six Nations,2003-02-16,Scotland,Ireland,6,36,Scottish Gas Murrayfield,24364
2002-03,Six Nations,2003-02-22,Italy,Ireland,13,37,Stadio Flaminio,24367
2002-03,Six Nations,2003-02-22,Wales,England,9,26,Principality Stadium,24368
2002-03,Six Nations,2003-02-23,France,Scotland,38,3,Stade de France,24372
2002-03,Six Nations,2003-03-08,Ireland,France,15,12,Aviva Stadium,24374
2002-03,Six Nations,2003-03-08,Scotland,Wales,30,22,Scottish Gas Murrayfield,24373
2002-03,Six Nations,2003-03-09,England,Italy,40,5,Allianz Stadium,24377
2002-03,Six Nations,2003-03-22,Wales,Ireland,24,25,Principality Stadium,24383
2002-03,Six Nations,2003-03-22,England,Scotland,40,9,Allianz Stadium,24384
2002-03,Six Nations,2003-03-23,Italy,France,27,53,Stadio Flaminio,24388
2002-03,Six Nations,2003-03-29,France,Wales,33,5,Stade de France,24392
2002-03,Six Nations,2003-03-29,Scotland,Italy,33,25,Scottish Gas Murrayfield,24391
2002-03,Six Nations,2003-03-30,Ireland,England,6,42,Aviva Stadium,24396
2003,Rugby Championship / Tri Nations,2003-07-12,South Africa,Australia,26,22,DHL Newlands,24478
2003,Rugby Championship / Tri Nations,2003-07-19,South Africa,New Zealand,16,52,Loftus Versfeld,24482
2003,Rugby Championship / Tri Nations,2003-07-26,Australia,New Zealand,21,50,Accor Stadium,24484
2003,Rugby Championship / Tri Nations,2003-08-02,Australia,South Africa,29,9,Suncorp Stadium,24485
2003,Rugby Championship / Tri Nations,2003-08-09,New Zealand,South Africa,19,11,Carisbrook,24488
2003,Rugby Championship / Tri Nations,2003-08-16,New Zealand,Australia,21,17,Eden Park,24489
2003,Rugby World Cup,2003-10-10,Australia,Argentina,24,8,Accor Stadium,24536
2003,Rugby World Cup,2003-10-11,New Zealand,Italy,70,7,Marvel Stadium,24541
2003,Rugby World Cup,2003-10-11,Ireland,Romania,45,17,Central Coast Stadium,24543
2003,Rugby World Cup,2003-10-11,France,Fiji,61,18,Suncorp Stadium,24542
2003,Rugby World Cup,2003-10-11,South Africa,Uruguay,72,6,Patersons Stadium,24544
2003,Rugby World Cup,2003-10-12,Wales,Canada,41,10,Marvel Stadium,24550
2003,Rugby World Cup,2003-10-12,Scotland,Japan,32,11,Dairy Farmers Stadium,24551
2003,Rugby World Cup,2003-10-12,England,Georgia,84,6,Patersons Stadium,24552
2003,Rugby World Cup,2003-10-14,Argentina,Namibia,67,14,Central Coast Stadium,24559
2003,Rugby World Cup,2003-10-15,United States of America,Fiji,18,19,Suncorp Stadium,24560
2003,Rugby World Cup,2003-10-15,Tonga,Italy,12,36,GIO Stadium,24561
2003,Rugby World Cup,2003-10-15,Samoa,Uruguay,60,13,Patersons Stadium,24562
2003,Rugby World Cup,2003-10-17,New Zealand,Canada,68,6,Marvel Stadium,24564
2003,Rugby World Cup,2003-10-18,Australia,Romania,90,8,Suncorp Stadium,24565
2003,Rugby World Cup,2003-10-18,France,Japan,51,29,Dairy Farmers Stadium,24566
2003,Rugby World Cup,2003-10-18,England,South Africa,25,6,Patersons Stadium,24567
2003,Rugby World Cup,2003-10-19,Wales,Tonga,27,20,GIO Stadium,24568
2003,Rugby World Cup,2003-10-19,Ireland,Namibia,64,7,Allianz Stadium,24569
2003,Rugby World Cup,2003-10-19,Samoa,Georgia,46,9,Patersons Stadium,24570
2003,Rugby World Cup,2003-10-20,Scotland,United States of America,39,15,Suncorp Stadium,24572
2003,Rugby World Cup,2003-10-21,Italy,Canada,19,14,GIO Stadium,24574
2003,Rugby World Cup,2003-10-22,Argentina,Romania,50,3,Allianz Stadium,24575
2003,Rugby World Cup,2003-10-23,Fiji,Japan,41,13,Dairy Farmers Stadium,24576
2003,Rugby World Cup,2003-10-24,New Zealand,Tonga,91,7,Suncorp Stadium,24577
2003,Rugby World Cup,2003-10-24,South Africa,Georgia,46,19,Allianz Stadium,24578
2003,Rugby World Cup,2003-10-25,Australia,Namibia,142,0,Adelaide Oval,24579
2003,Rugby World Cup,2003-10-25,Wales,Italy,27,15,GIO Stadium,24580
2003,Rugby World Cup,2003-10-25,Scotland,France,9,51,Accor Stadium,24581
2003,Rugby World Cup,2003-10-26,Ireland,Argentina,16,15,Adelaide Oval,24588
2003,Rugby World Cup,2003-10-26,England,Samoa,35,22,Marvel Stadium,24587
2003,Rugby World Cup,2003-10-27,United States of America,Japan,39,26,Central Coast Stadium,24589
2003,Rugby World Cup,2003-10-28,Uruguay,Georgia,24,12,Allianz Stadium,24590
2003,Rugby World Cup,2003-10-29,Tonga,Canada,7,24,WIN Stadium,24591
2003,Rugby World Cup,2003-10-30,Romania,Namibia,37,7,York Park,24592
2003,Rugby World Cup,2003-10-31,France,United States of America,41,14,WIN Stadium,24593
2003,Rugby World Cup,2003-11-01,Scotland,Fiji,22,20,Allianz Stadium,24594
2003,Rugby World Cup,2003-11-01,South Africa,Samoa,60,10,Suncorp Stadium,24595
2003,Rugby World Cup,2003-11-01,Australia,Ireland,17,16,Marvel Stadium,24596
2003,Rugby World Cup,2003-11-02,England,Uruguay,111,13,Suncorp Stadium,24597
2003,Rugby World Cup,2003-11-02,Wales,New Zealand,37,53,Accor Stadium,24598
2003,Rugby World Cup,2003-11-08,South Africa,New Zealand,9,29,Marvel Stadium,24600
2003,Rugby World Cup,2003-11-08,Australia,Scotland,33,16,Suncorp Stadium,24599
2003,Rugby World Cup,2003-11-09,Ireland,France,21,43,Marvel Stadium,24603
2003,Rugby World Cup,2003-11-09,England,Wales,28,17,Suncorp Stadium,24604
2003,Rugby World Cup,2003-11-15,Australia,New Zealand,22,10,Accor Stadium,24605
2003,Rugby World Cup,2003-11-16,England,France,24,7,Accor Stadium,24608
2003,Rugby World Cup,2003-11-20,New Zealand,France,40,13,Accor Stadium,24609
2003,Rugby World Cup,2003-11-22,Australia,England,17,20,Accor Stadium,24610
2003-04,Six Nations,2004-02-14,France,Ireland,35,17,Stade de France,24611
2003-04,Six Nations,2004-02-14,Wales,Scotland,23,10,Principality Stadium,24612
2003-04,Six Nations,2004-02-15,Italy,England,9,50,Stadio Flaminio,24616
2003-04,Six Nations,2004-02-21,France,Italy,25,0,Stade de France,24618
2003-04,Six Nations,2004-02-21,Scotland,England,13,35,Scottish Gas Murrayfield,24617
2003-04,Six Nations,2004-02-22,Ireland,Wales,36,15,Aviva Stadium,24620
2003-04,Six Nations,2004-03-06,Italy,Scotland,20,14,Stadio Flaminio,24625
2003-04,Six Nations,2004-03-06,England,Ireland,13,19,Allianz Stadium,24624
2003-04,Six Nations,2004-03-07,Wales,France,22,29,Principality Stadium,24629
2003-04,Six Nations,2004-03-20,Ireland,Italy,19,3,Aviva Stadium,24633
2003-04,Six Nations,2004-03-20,England,Wales,31,21,Allianz Stadium,24632
2003-04,Six Nations,2004-03-21,Scotland,France,0,31,Scottish Gas Murrayfield,24636
2003-04,Six Nations,2004-03-27,Wales,Italy,44,10,Principality Stadium,24640
2003-04,Six Nations,2004-03-27,Ireland,Scotland,37,16,Aviva Stadium,24639
2003-04,Six Nations,2004-03-27,France,England,24,21,Stade de France,24638
2004,Rugby Championship / Tri Nations,2004-07-17,New Zealand,Australia,16,7,Sky Stadium,24744
2004,Rugby Championship / Tri Nations,2004-07-24,New Zealand,South Africa,23,21,Jade Stadium (Lancaster Park),24746
2004,Rugby Championship / Tri Nations,2004-07-31,Australia,South Africa,30,26,Patersons Stadium,24748
2004,Rugby Championship / Tri Nations,2004-08-07,Australia,New Zealand,23,18,Accor Stadium,24750
2004,Rugby Championship / Tri Nations,2004-08-14,South Africa,New Zealand,40,26,Ellis Park,24751
2004,Rugby Championship / Tri Nations,2004-08-21,South Africa,Australia,23,19,Hollywoodbets Kings Park,24754
2004-05,Six Nations,2005-02-05,France,Scotland,16,9,Stade de France,24843
2004-05,Six Nations,2005-02-05,Wales,England,11,9,Principality Stadium,24844
2004-05,Six Nations,2005-02-06,Italy,Ireland,17,28,Stadio Flaminio,24846
2004-05,Six Nations,2005-02-12,Italy,Wales,8,38,Stadio Flaminio,24847
2004-05,Six Nations,2005-02-12,Scotland,Ireland,13,40,Scottish Gas Murrayfield,24848
2004-05,Six Nations,2005-02-13,England,France,17,18,Allianz Stadium,24849
2004-05,Six Nations,2005-02-26,Scotland,Italy,18,10,Scottish Gas Murrayfield,24852
2004-05,Six Nations,2005-02-26,France,Wales,18,24,Stade de France,24853
2004-05,Six Nations,2005-02-27,Ireland,England,19,13,Aviva Stadium,24857
2004-05,Six Nations,2005-03-12,Ireland,France,19,26,Aviva Stadium,24859
2004-05,Six Nations,2005-03-12,England,Italy,39,7,Allianz Stadium,24860
2004-05,Six Nations,2005-03-13,Scotland,Wales,22,46,Scottish Gas Murrayfield,24866
2004-05,Six Nations,2005-03-19,Italy,France,13,56,Stadio Flaminio,24867
2004-05,Six Nations,2005-03-19,Wales,Ireland,32,20,Principality Stadium,24868
2004-05,Six Nations,2005-03-19,England,Scotland,43,22,Allianz Stadium,24869
2005,Rugby Championship / Tri Nations,2005-07-30,South Africa,Australia,22,16,Loftus Versfeld,24995
2005,Rugby Championship / Tri Nations,2005-08-06,South Africa,New Zealand,22,16,DHL Newlands,24997
2005,Rugby Championship / Tri Nations,2005-08-13,Australia,New Zealand,13,30,Accor Stadium,25008
2005,Rugby Championship / Tri Nations,2005-08-20,Australia,South Africa,19,22,Patersons Stadium,25014
2005,Rugby Championship / Tri Nations,2005-08-27,New Zealand,South Africa,31,27,Carisbrook,25017
2005,Rugby Championship / Tri Nations,2005-09-03,New Zealand,Australia,34,24,Eden Park,25019
2005-06,Six Nations,2006-02-04,Ireland,Italy,26,16,Aviva Stadium,25112
2005-06,Six Nations,2006-02-04,England,Wales,47,13,Allianz Stadium,25113
2005-06,Six Nations,2006-02-05,Scotland,France,20,16,Scottish Gas Murrayfield,25115
2005-06,Six Nations,2006-02-11,France,Ireland,43,31,Stade de France,25116
2005-06,Six Nations,2006-02-11,Italy,England,16,31,Stadio Flaminio,25117
2005-06,Six Nations,2006-02-12,Wales,Scotland,28,18,Principality Stadium,25118
2005-06,Six Nations,2006-02-25,France,Italy,37,12,Stade de France,25119
2005-06,Six Nations,2006-02-25,Scotland,England,18,12,Scottish Gas Murrayfield,25120
2005-06,Six Nations,2006-02-26,Ireland,Wales,31,5,Aviva Stadium,25123
2005-06,Six Nations,2006-03-11,Wales,Italy,18,18,Principality Stadium,25124
2005-06,Six Nations,2006-03-11,Ireland,Scotland,15,9,Aviva Stadium,25125
2005-06,Six Nations,2006-03-12,France,England,31,6,Stade de France,25129
2005-06,Six Nations,2006-03-18,Italy,Scotland,10,13,Stadio Flaminio,25130
2005-06,Six Nations,2006-03-18,Wales,France,16,21,Principality Stadium,25131
2005-06,Six Nations,2006-03-18,England,Ireland,24,28,Allianz Stadium,25132
2006,Rugby Championship / Tri Nations,2006-07-08,New Zealand,Australia,32,12,Jade Stadium (Lancaster Park),25248
2006,Rugby Championship / Tri Nations,2006-07-15,Australia,South Africa,49,0,Suncorp Stadium,25250
2006,Rugby Championship / Tri Nations,2006-07-22,New Zealand,South Africa,35,17,Sky Stadium,25252
2006,Rugby Championship / Tri Nations,2006-07-29,Australia,New Zealand,9,13,Suncorp Stadium,25257
2006,Rugby Championship / Tri Nations,2006-08-05,Australia,South Africa,20,18,Accor Stadium,25260
2006,Rugby Championship / Tri Nations,2006-08-19,New Zealand,Australia,34,27,Eden Park,25267
2006,Rugby Championship / Tri Nations,2006-08-26,South Africa,New Zealand,26,45,Loftus Versfeld,25270
2006,Rugby Championship / Tri Nations,2006-09-02,South Africa,New Zealand,21,20,Olympia Park,25271
2006,Rugby Championship / Tri Nations,2006-09-09,South Africa,Australia,24,16,Ellis Park,25272
2006-07,Six Nations,2007-02-03,Italy,France,3,39,Stadio Flaminio,25364
2006-07,Six Nations,2007-02-03,England,Scotland,42,20,Allianz Stadium,25365
2006-07,Six Nations,2007-02-04,Wales,Ireland,9,19,Principality Stadium,25368
2006-07,Six Nations,2007-02-10,England,Italy,20,7,Allianz Stadium,25369
2006-07,Six Nations,2007-02-10,Scotland,Wales,21,9,Scottish Gas Murrayfield,25370
2006-07,Six Nations,2007-02-11,Ireland,France,17,20,Croke Park,25373
2006-07,Six Nations,2007-02-24,Scotland,Italy,17,37,Scottish Gas Murrayfield,25374
2006-07,Six Nations,2007-02-24,Ireland,England,43,13,Croke Park,25375
2006-07,Six Nations,2007-02-24,France,Wales,32,21,Stade de France,25376
2006-07,Six Nations,2007-03-10,Scotland,Ireland,18,19,Scottish Gas Murrayfield,25377
2006-07,Six Nations,2007-03-10,Italy,Wales,23,20,Stadio Flaminio,25378
2006-07,Six Nations,2007-03-11,England,France,26,18,Allianz Stadium,25381
2006-07,Six Nations,2007-03-17,Italy,Ireland,24,51,Stadio Flaminio,25382
2006-07,Six Nations,2007-03-17,France,Scotland,46,19,Stade de France,25383
2006-07,Six Nations,2007-03-17,Wales,England,27,18,Principality Stadium,25384
2007,Rugby Championship / Tri Nations,2007-06-16,South Africa,Australia,22,19,DHL Newlands,25461
2007,Rugby Championship / Tri Nations,2007-06-23,South Africa,New Zealand,21,26,Hollywoodbets Kings Park,25467
2007,Rugby Championship / Tri Nations,2007-06-30,Australia,New Zealand,20,15,Melbourne Cricket Ground,25474
2007,Rugby Championship / Tri Nations,2007-07-07,Australia,South Africa,25,17,Accor Stadium,25477
2007,Rugby Championship / Tri Nations,2007-07-14,New Zealand,South Africa,33,6,Jade Stadium (Lancaster Park),25484
2007,Rugby Championship / Tri Nations,2007-07-21,New Zealand,Australia,26,12,Eden Park,25489
2007,Rugby World Cup,2007-09-07,France,Argentina,12,17,Stade de France,25506
2007,Rugby World Cup,2007-09-08,New Zealand,Italy,76,14,Orange Velodrome,25509
2007,Rugby World Cup,2007-09-08,Australia,Japan,91,3,Matmut Stadium de Gerland,25508
2007,Rugby World Cup,2007-09-08,England,United States of America,28,10,Stade Bollaert-Delelis,25507
2007,Rugby World Cup,2007-09-09,Wales,Canada,42,17,Stade de la Beaujoire,25511
2007,Rugby World Cup,2007-09-09,South Africa,Samoa,59,7,Parc des Princes,25512
2007,Rugby World Cup,2007-09-09,Scotland,Portugal,56,10,Stade Geoffroy-Guichard,25513
2007,Rugby World Cup,2007-09-09,Ireland,Namibia,32,17,Stade Chaban-Delmas,25510
2007,Rugby World Cup,2007-09-11,Argentina,Georgia,33,3,Matmut Stadium de Gerland,25514
2007,Rugby World Cup,2007-09-12,United States of America,Tonga,15,25,Stade de la Mosson,25516
2007,Rugby World Cup,2007-09-12,Fiji,Japan,35,31,Stade Toulouse,25517
2007,Rugby World Cup,2007-09-12,Romania,Italy,18,24,Orange Velodrome,25515
2007,Rugby World Cup,2007-09-14,England,South Africa,0,36,Stade de France,25518
2007,Rugby World Cup,2007-09-15,New Zealand,Portugal,108,13,Matmut Stadium de Gerland,25521
2007,Rugby World Cup,2007-09-15,Wales,Australia,20,32,Principality Stadium,25520
2007,Rugby World Cup,2007-09-15,Ireland,Georgia,14,10,Stade Chaban-Delmas,25519
2007,Rugby World Cup,2007-09-16,Fiji,Canada,29,16,Principality Stadium,25522
2007,Rugby World Cup,2007-09-16,Samoa,Tonga,15,19,Stade de la Mosson,25523
2007,Rugby World Cup,2007-09-16,France,Namibia,87,10,Stade Toulouse,25524
2007,Rugby World Cup,2007-09-18,Scotland,Romania,42,0,Scottish Gas Murrayfield,25525
2007,Rugby World Cup,2007-09-19,Italy,Portugal,31,5,Parc des Princes,25526
2007,Rugby World Cup,2007-09-20,Wales,Japan,72,18,Principality Stadium,25527
2007,Rugby World Cup,2007-09-21,France,Ireland,25,3,Stade de France,25528
2007,Rugby World Cup,2007-09-22,South Africa,Tonga,30,25,Stade Bollaert-Delelis,25529
2007,Rugby World Cup,2007-09-22,England,Samoa,44,22,Stade de la Beaujoire,25531
2007,Rugby World Cup,2007-09-22,Argentina,Namibia,63,3,Orange Velodrome,25530
2007,Rugby World Cup,2007-09-23,Australia,Fiji,55,12,Stade de la Mosson,25533
2007,Rugby World Cup,2007-09-23,Scotland,New Zealand,0,40,Scottish Gas Murrayfield,25532
2007,Rugby World Cup,2007-09-25,Japan,Canada,12,12,Stade Chaban-Delmas,25534
2007,Rugby World Cup,2007-09-25,Romania,Portugal,14,10,Stade Toulouse,25535
2007,Rugby World Cup,2007-09-26,Georgia,Namibia,30,0,Stade Bollaert-Delelis,25536
2007,Rugby World Cup,2007-09-26,United States of America,Samoa,21,25,Stade Geoffroy-Guichard,25537
2007,Rugby World Cup,2007-09-28,England,Tonga,36,20,Parc des Princes,25538
2007,Rugby World Cup,2007-09-29,New Zealand,Romania,85,8,Stade Toulouse,25542
2007,Rugby World Cup,2007-09-29,Australia,Canada,37,6,Stade Chaban-Delmas,25539
2007,Rugby World Cup,2007-09-29,Wales,Fiji,34,38,Stade de la Beaujoire,25540
2007,Rugby World Cup,2007-09-29,Scotland,Italy,18,16,Stade Geoffroy-Guichard,25541
2007,Rugby World Cup,2007-09-30,France,Georgia,64,7,Orange Velodrome,25543
2007,Rugby World Cup,2007-09-30,Ireland,Argentina,15,30,Parc des Princes,25545
2007,Rugby World Cup,2007-09-30,South Africa,United States of America,64,15,Stade de la Mosson,25544
2007,Rugby World Cup,2007-10-06,England,Australia,12,10,Orange Velodrome,25546
2007,Rugby World Cup,2007-10-06,New Zealand,France,18,20,Principality Stadium,25547
2007,Rugby World Cup,2007-10-07,South Africa,Fiji,37,20,Orange Velodrome,25548
2007,Rugby World Cup,2007-10-07,Scotland,Argentina,13,19,Stade de France,25549
2007,Rugby World Cup,2007-10-13,France,England,9,14,Stade de France,25550
2007,Rugby World Cup,2007-10-14,South Africa,Argentina,37,13,Stade de France,25551
2007,Rugby World Cup,2007-10-19,France,Argentina,10,34,Parc des Princes,25552
2007,Rugby World Cup,2007-10-20,England,South Africa,6,15,Stade de France,25553
2007-08,Six Nations,2008-02-02,Ireland,Italy,16,11,Croke Park,25583
2007-08,Six Nations,2008-02-02,England,Wales,19,26,Allianz Stadium,25584
2007-08,Six Nations,2008-02-03,Scotland,France,6,27,Scottish Gas Murrayfield,25586
2007-08,Six Nations,2008-02-09,Wales,Scotland,30,15,Principality Stadium,25587
2007-08,Six Nations,2008-02-09,France,Ireland,26,21,Stade de France,25588
2007-08,Six Nations,2008-02-10,Italy,England,19,23,Stadio Flaminio,25590
2007-08,Six Nations,2008-02-23,Wales,Italy,47,8,Principality Stadium,25592
2007-08,Six Nations,2008-02-23,Ireland,Scotland,34,13,Croke Park,25593
2007-08,Six Nations,2008-02-23,France,England,13,24,Stade de France,25594
2007-08,Six Nations,2008-03-08,Ireland,Wales,12,16,Croke Park,25598
2007-08,Six Nations,2008-03-08,Scotland,England,15,9,Scottish Gas Murrayfield,25599
2007-08,Six Nations,2008-03-09,France,Italy,25,13,Stade de France,25602
2007-08,Six Nations,2008-03-15,Italy,Scotland,23,20,Stadio Flaminio,25603
2007-08,Six Nations,2008-03-15,England,Ireland,33,10,Allianz Stadium,25604
2007-08,Six Nations,2008-03-15,Wales,France,29,12,Principality Stadium,25605
2008,Rugby Championship / Tri Nations,2008-07-05,New Zealand,South Africa,19,8,Sky Stadium,25701
2008,Rugby Championship / Tri Nations,2008-07-12,New Zealand,South Africa,28,30,Carisbrook,25705
2008,Rugby Championship / Tri Nations,2008-07-19,Australia,South Africa,16,9,Patersons Stadium,25706
2008,Rugby Championship / Tri Nations,2008-07-26,Australia,New Zealand,34,19,Accor Stadium,25707
2008,Rugby Championship / Tri Nations,2008-08-02,New Zealand,Australia,39,10,Eden Park,25708
2008,Rugby Championship / Tri Nations,2008-08-16,South Africa,New Zealand,0,19,DHL Newlands,25710
2008,Rugby Championship / Tri Nations,2008-08-23,South Africa,Australia,15,27,Hollywoodbets Kings Park,25711
2008,Rugby Championship / Tri Nations,2008-08-30,South Africa,Australia,53,8,Ellis Park,25712
2008,Rugby Championship / Tri Nations,2008-09-13,Australia,New Zealand,24,28,Suncorp Stadium,25714
2008-09,Six Nations,2009-02-07,England,Italy,36,11,Allianz Stadium,25776
2008-09,Six Nations,2009-02-07,Ireland,France,30,21,Croke Park,25777
2008-09,Six Nations,2009-02-08,Scotland,Wales,13,26,Scottish Gas Murrayfield,25778
2008-09,Six Nations,2009-02-14,France,Scotland,22,13,Stade de France,25781
2008-09,Six Nations,2009-02-14,Wales,England,23,15,Principality Stadium,25782
2008-09,Six Nations,2009-02-15,Italy,Ireland,9,38,Stadio Flaminio,25783
2008-09,Six Nations,2009-02-27,France,Wales,21,16,Stade de France,25785
2008-09,Six Nations,2009-02-28,Scotland,Italy,26,6,Scottish Gas Murrayfield,25788
2008-09,Six Nations,2009-02-28,Ireland,England,14,13,Croke Park,25789
2008-09,Six Nations,2009-03-14,Italy,Wales,15,20,Stadio Flaminio,25793
2008-09,Six Nations,2009-03-14,Scotland,Ireland,15,22,Scottish Gas Murrayfield,25794
2008-09,Six Nations,2009-03-15,England,France,34,10,Allianz Stadium,25797
2008-09,Six Nations,2009-03-21,Italy,France,8,50,Stadio Flaminio,25804
2008-09,Six Nations,2009-03-21,England,Scotland,26,12,Allianz Stadium,25805
2008-09,Six Nations,2009-03-21,Wales,Ireland,15,17,Principality Stadium,25806
2009,Rugby Championship / Tri Nations,2009-07-18,New Zealand,Australia,22,16,Eden Park,25836
2009,Rugby Championship / Tri Nations,2009-07-25,South Africa,New Zealand,28,19,Toyota Stadium,84711
2009,Rugby Championship / Tri Nations,2009-08-01,South Africa,New Zealand,31,19,Hollywoodbets Kings Park,84712
2009,Rugby Championship / Tri Nations,2009-08-08,South Africa,Australia,29,17,DHL Newlands,84713
2009,Rugby Championship / Tri Nations,2009-08-22,Australia,New Zealand,18,19,Accor Stadium,84714
2009,Rugby Championship / Tri Nations,2009-08-29,Australia,South Africa,25,32,Patersons Stadium,84715
2009,Rugby Championship / Tri Nations,2009-09-05,Australia,South Africa,21,6,Suncorp Stadium,84716
